City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Lagoa,PT,2023-01-14 04:04:25,39.05,-27.9833,59.29,93,100,18.34
68,Hithadhoo,MV,2023-01-14 04:04:26,-0.6,73.0833,80.35,69,99,13.85
69,Tasiilaq,GL,2023-01-14 04:04:27,65.6145,-37.6368,14.16,76,100,11.1
70,Kanturk,IE,2023-01-14 04:04:28,52.1667,-8.9,47.14,92,100,11.45
71,Destin,US,2023-01-14 04:04:29,30.3935,-86.4958,42.06,67,75,8.05
72,Jurilovca,RO,2023-01-14 04:04:30,44.7667,28.8667,32.09,91,98,3.58
73,Carora,VE,2023-01-14 04:04:31,10.1755,-70.0827,72.64,81,22,6.29
74,Alto Araguaia,BR,2023-01-14 04:04:31,-17.3147,-53.2153,68.22,97,99,5.23
75,Beloha,MG,2023-01-14 04:04:32,-25.1667,45.05,75.72,82,3,11.25
76,Kudahuvadhoo,MV,2023-01-14 04:04:34,2.6708,72.8944,79.84,63,73,11.81
77,East London,ZA,2023-01-14 04:01:32,-33.0153,27.9116,72.84,78,87,1.74
78,Cividale Del Friuli,IT,2023-01-14 04:04:35,46.0931,13.4275,45.37,86,14,5.82
79,Ndago,TZ,2023-01-14 04:04:36,-4.6,34.35,60.55,91,99,4.34
80,Jutai,BR,2023-01-14 04:04:37,-5.1833,-68.9,69.62,99,94,1.95
81,Salalah,OM,2023-01-14 04:04:37,17.0151,54.0924,72.3,76,96,8.08
82,Iranshahr,IR,2023-01-14 04:04:38,27.2025,60.6848,37.74,41,0,0.0
83,Maputo,MZ,2023-01-14 04:01:00,-25.9653,32.5892,75.38,89,27,1.23
84,Aknalich,AM,2023-01-14 04:04:39,40.1432,44.1498,22.24,69,61,1.16
85,Bremervorde,DE,2023-01-14 04:04:40,53.4833,9.1333,44.13,89,83,14.09
86,Traverse City,US,2023-01-14 04:04:40,44.7631,-85.6206,25.0,75,100,9.22
87,Bumba,CD,2023-01-14 04:04:41,2.1833,22.4667,66.78,59,52,1.79
88,Anloga,GH,2023-01-14 04:04:41,5.7947,0.8973,78.75,83,33,7.67
89,Hamilton,US,2023-01-14 04:04:41,39.1834,-84.5333,32.81,80,100,14.97
90,Pangnirtung,CA,2023-01-14 04:04:42,66.1451,-65.7125,-28.19,100,100,3.53
91,Buzdyak,RU,2023-01-14 04:04:42,54.5833,54.55,10.22,71,100,14.03
92,Mpulungu,ZM,2023-01-14 04:05:43,-8.7623,31.1141,70.2,87,100,5.14
93,Caravelas,BR,2023-01-14 04:05:44,-17.7125,-39.2481,74.64,91,5,5.46
94,Wajir,KE,2023-01-14 04:05:45,1.7471,40.0573,71.46,70,6,11.14
95,Andahuaylas,PE,2023-01-14 04:05:46,-13.6556,-73.3872,51.24,87,95,0.94
96,Yar-Sale,RU,2023-01-14 04:05:47,66.8333,70.8333,-10.12,100,99,4.63
97,Pilar,BR,2023-01-14 04:04:40,-9.5972,-35.9567,75.13,93,22,4.12
98,Yenagoa,NG,2023-01-14 04:05:48,4.9247,6.2642,74.41,92,99,3.38
99,Pontal Do Parana,BR,2023-01-14 04:05:49,-25.6533,-48.5128,75.56,87,100,3.33
100,Padre Bernardo,BR,2023-01-14 04:05:50,-15.35,-48.5,68.47,95,100,1.01
101,Quelimane,MZ,2023-01-14 04:05:50,-17.8786,36.8883,76.5,84,74,1.5
