City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
59,Owerri,NG,2023-01-18 04:14:14,5.4833,7.0304,73.4,95,100,2.08,overcast clouds
60,Ostrovnoy,RU,2023-01-18 04:14:35,68.0531,39.5131,21.94,92,8,22.82,clear sky
61,Krasnoselkup,RU,2023-01-18 04:14:35,65.7,82.4667,-15.92,84,100,14.32,overcast clouds
62,Iroquois Falls,CA,2023-01-18 04:14:37,48.7669,-80.6831,28.83,98,100,5.21,light snow
63,Natal,BR,2023-01-18 04:14:37,-5.795,-35.2094,74.05,83,20,4.61,few clouds
64,Bandarbeyla,SO,2023-01-18 04:14:38,9.4942,50.8122,74.82,74,37,13.8,scattered clouds
65,Hermanus,ZA,2023-01-18 04:14:39,-34.4187,19.2345,71.8,88,98,3.98,overcast clouds
66,Henderson,US,2023-01-18 04:12:56,36.0397,-114.9819,51.24,46,100,11.5,overcast clouds
67,Villamontes,BO,2023-01-18 04:14:40,-21.25,-63.5,76.23,67,8,2.55,clear sky
68,Lusambo,CD,2023-01-18 04:14:41,-4.9667,23.45,66.79,93,100,2.13,overcast clouds
69,Iqaluit,CA,2023-01-18 04:14:17,63.7506,-68.5145,-7.31,63,100,3.0,overcast clouds
70,Kargasok,RU,2023-01-18 04:06:28,59.0556,80.8572,3.27,96,100,8.37,light snow
71,Maraa,BR,2023-01-18 04:14:43,-1.8333,-65.3667,69.53,99,96,2.62,moderate rain
72,Morondava,MG,2023-01-18 04:11:09,-20.2833,44.2833,78.31,82,39,6.91,scattered clouds
73,Izacic,BA,2023-01-18 04:14:45,44.875,15.7819,42.12,94,99,8.63,overcast clouds
74,Nikki,BJ,2023-01-18 04:14:45,9.9401,3.2108,67.75,24,13,4.94,few clouds
75,Kharp,RU,2023-01-18 04:14:47,66.8014,65.8081,9.18,92,99,6.44,overcast clouds
76,Kogon,UZ,2023-01-18 04:14:47,39.7228,64.5517,10.44,79,39,2.3,mist
77,Jaru,BR,2023-01-18 04:14:48,-10.4389,-62.4664,71.55,96,95,0.72,overcast clouds
78,Aripuana,BR,2023-01-18 04:14:49,-9.1667,-60.6333,70.38,100,100,2.68,overcast clouds
79,Felanitx,ES,2023-01-18 04:14:50,39.4696,3.1483,51.24,58,14,16.11,few clouds
80,Wageningen,NL,2023-01-18 04:14:51,51.9667,5.6667,30.85,92,100,4.61,overcast clouds
81,Urumqi,CN,2023-01-18 04:14:52,43.801,87.6005,-6.65,84,10,4.47,mist
82,Atar,MR,2023-01-18 04:14:53,20.5169,-13.0499,66.63,17,93,7.65,overcast clouds
83,Mehamn,NO,2023-01-18 04:14:14,71.0357,27.8492,30.15,80,0,17.27,clear sky
84,Robertsport,LR,2023-01-18 04:14:54,6.7533,-11.3686,77.86,87,76,6.06,broken clouds
85,Port-Cartier,CA,2023-01-18 04:14:55,50.0334,-66.8654,30.74,93,100,3.94,overcast clouds
86,Puerto Ayora,EC,2023-01-18 04:13:05,-0.7393,-90.3518,75.54,97,46,4.0,scattered clouds
87,Margate,GB,2023-01-18 04:04:27,51.3813,1.3862,28.87,89,8,17.09,clear sky
88,Sao Joao Da Barra,BR,2023-01-18 04:14:57,-21.6403,-41.0511,74.53,92,2,10.76,clear sky
89,Kharan,PK,2023-01-18 04:14:58,28.5833,65.4167,52.83,32,43,1.63,scattered clouds
90,La Asuncion,VE,2023-01-18 04:08:05,11.0333,-63.8628,74.79,86,41,9.55,scattered clouds
91,Bambous Virieux,MU,2023-01-18 04:15:00,-20.3428,57.7575,81.21,78,75,14.97,light rain
92,Iguape,BR,2023-01-18 04:13:57,-24.7081,-47.5553,75.0,91,98,0.36,overcast clouds
93,Dingle,PH,2023-01-18 04:15:01,10.9995,122.6711,81.09,83,100,8.46,overcast clouds
94,Mandera,KE,2023-01-18 04:15:02,3.9366,41.867,73.8,36,69,4.83,broken clouds
95,Arlit,NE,2023-01-18 04:16:04,18.7369,7.3853,55.2,24,17,3.29,few clouds
96,Chacabuco,AR,2023-01-18 04:16:05,-34.6417,-60.4739,81.82,42,40,14.2,scattered clouds
97,Mastic Beach,US,2023-01-18 04:16:05,40.7668,-72.8521,44.55,72,100,8.99,overcast clouds
98,Saint-Pierre,RE,2023-01-18 04:16:06,-21.3393,55.4781,84.56,65,0,28.77,clear sky
99,Aksu,CN,2023-01-18 04:16:07,41.1231,80.2644,6.84,79,3,4.97,clear sky
100,Talnakh,RU,2023-01-18 04:08:19,69.4865,88.3972,-29.76,86,55,8.1,broken clouds
101,Domoni,KM,2023-01-18 04:16:09,-12.2569,44.5319,79.56,83,100,3.83,light rain
102,Clyde River,CA,2023-01-18 04:16:10,70.4692,-68.5914,-18.17,76,0,14.97,clear sky
103,Saint-Philippe,RE,2023-01-18 04:14:13,-21.3585,55.7679,80.19,85,100,14.32,light rain
104,Aykino,RU,2023-01-18 04:16:11,62.2248,49.9922,17.08,95,100,5.53,light snow
105,Caltagirone,IT,2023-01-18 04:16:12,37.2368,14.5126,52.63,95,48,2.64,scattered clouds
106,Hithadhoo,MV,2023-01-18 04:16:12,-0.6,73.0833,80.78,66,3,4.83,clear sky
107,Grand Gaube,MU,2023-01-18 04:16:12,-20.0064,57.6608,81.37,73,100,14.0,light rain
108,Callaway,US,2023-01-18 04:16:14,30.153,-85.5699,66.97,97,75,6.91,broken clouds
109,Vangaindrano,MG,2023-01-18 04:16:15,-23.35,47.6,75.88,84,56,2.46,broken clouds
110,Finnsnes,NO,2023-01-18 04:16:16,69.2296,17.9811,9.21,92,100,7.38,overcast clouds
111,Sayyan,YE,2023-01-18 04:16:17,15.1718,44.3244,51.75,37,37,2.98,scattered clouds
112,Souillac,MU,2023-01-18 04:16:17,-20.5167,57.5167,80.98,78,75,14.97,light rain
113,Basoko,CD,2023-01-18 04:16:18,1.2391,23.616,69.73,88,70,3.89,broken clouds
114,Castro,BR,2023-01-18 04:12:55,-24.7911,-50.0119,64.13,99,100,3.04,overcast clouds
115,Ust-Koksa,RU,2023-01-18 04:16:21,50.2696,85.6108,2.91,95,65,0.2,broken clouds
116,Port Blair,IN,2023-01-18 04:11:50,11.6667,92.75,80.64,61,75,6.91,haze
117,Harper,LR,2023-01-18 04:16:22,4.375,-7.7169,77.94,83,46,4.92,scattered clouds
118,Vlotho,DE,2023-01-18 04:16:23,52.1653,8.86,28.17,93,75,2.3,broken clouds
119,Pimentel,PE,2023-01-18 04:16:24,-6.8367,-79.9342,70.09,83,0,13.8,clear sky
120,Busayra,JO,2023-01-18 04:16:25,30.7376,35.6078,42.49,72,0,3.65,clear sky
121,Iringa,TZ,2023-01-18 04:16:26,-7.7667,35.7,58.48,89,100,1.9,overcast clouds
122,Ouro Preto Do Oeste,BR,2023-01-18 04:13:16,-10.7481,-62.2158,70.92,97,97,0.72,overcast clouds
123,Salalah,OM,2023-01-18 04:16:27,17.0151,54.0924,71.69,73,40,3.44,scattered clouds
124,Kavaratti,IN,2023-01-18 04:16:28,10.5669,72.642,80.26,74,61,10.76,broken clouds
125,Cidreira,BR,2023-01-18 04:16:29,-30.1811,-50.2056,73.67,86,98,12.26,overcast clouds
126,Nikolsk,RU,2023-01-18 04:16:29,53.7189,46.0712,13.89,92,100,10.27,overcast clouds
127,Kombissiri,BF,2023-01-18 04:16:30,12.0656,-1.3375,62.58,21,1,8.59,clear sky
128,Utinga,BR,2023-01-18 04:16:31,-5.8172,-35.3954,74.25,83,20,4.61,few clouds
129,Mwanza,TZ,2023-01-18 04:16:32,-2.5167,32.9,66.45,81,87,7.34,overcast clouds
130,Lieksa,FI,2023-01-18 04:16:33,63.3167,30.0167,25.23,93,100,12.66,light snow
131,Dzaoudzi,YT,2023-01-18 04:16:34,-12.7887,45.2699,82.29,78,20,8.05,few clouds
132,La Palma,US,2023-01-18 04:16:35,33.8464,-118.0467,55.67,68,0,4.61,clear sky
133,Crotone,IT,2023-01-18 04:16:36,39.0851,17.1178,58.19,71,14,17.0,few clouds
134,Okha,RU,2023-01-18 04:16:37,53.5739,142.9478,-19.7,88,79,8.86,broken clouds
135,Morant Bay,JM,2023-01-18 04:16:37,17.8815,-76.4093,76.62,82,53,8.23,broken clouds
136,Shegaon,IN,2023-01-18 04:16:37,20.7833,76.6833,70.74,39,2,4.83,clear sky
137,Bonfim,BR,2023-01-18 04:16:38,3.0833,-59.95,75.6,77,90,5.88,light rain
138,Coihaique,CL,2023-01-18 04:16:39,-45.5752,-72.0662,57.81,71,0,4.61,clear sky
139,Mar Del Plata,AR,2023-01-18 04:16:40,-38.0023,-57.5575,71.94,97,40,5.75,mist
140,Bonavista,CA,2023-01-18 04:09:00,48.6499,-53.1147,37.49,100,100,12.03,overcast clouds
141,Akureyri,IS,2023-01-18 04:16:42,65.6835,-18.0878,22.93,74,100,10.36,overcast clouds
142,Mindelo,CV,2023-01-18 04:17:43,16.8901,-24.9804,71.15,73,75,26.46,broken clouds
143,Punta Arenas,CL,2023-01-18 04:17:44,-53.15,-70.9167,55.51,71,75,12.66,broken clouds
144,Moroni,KM,2023-01-18 04:17:45,-11.7022,43.2551,79.61,78,100,1.68,light rain
145,Qaanaaq,GL,2023-01-18 04:17:46,77.484,-69.3632,-19.28,87,88,6.2,overcast clouds
146,Laguna,US,2023-01-18 04:17:47,38.421,-121.4238,46.54,87,0,0.0,clear sky
147,Saldanha,ZA,2023-01-18 04:17:48,-33.0117,17.9442,62.65,95,98,12.95,overcast clouds
148,Lisakovsk,KZ,2023-01-18 04:11:26,52.5369,62.4936,-9.62,80,2,4.76,clear sky
149,Plettenberg Bay,ZA,2023-01-18 04:17:50,-34.0527,23.3716,70.72,90,98,3.74,overcast clouds
150,Nantucket,US,2023-01-18 04:12:57,41.2835,-70.0995,45.14,83,100,9.22,overcast clouds
151,Dasoguz,TM,2023-01-18 04:17:51,41.8363,59.9666,13.95,67,0,4.61,clear sky
152,Adrar,MR,2023-01-18 04:17:52,20.5022,-10.0711,62.58,17,100,8.37,overcast clouds
153,Gat,IL,2023-01-18 04:15:01,31.61,34.7642,54.39,69,0,5.55,clear sky
154,Vardo,NO,2023-01-18 04:17:53,70.3705,31.1107,24.78,86,16,28.77,few clouds
155,Mufumbwe,ZM,2023-01-18 04:17:54,-13.6833,24.8,61.56,98,100,3.33,overcast clouds
156,Abu Dhabi,AE,2023-01-18 04:14:31,24.4667,54.3667,69.91,71,20,13.8,few clouds
157,Chirilagua,SV,2023-01-18 04:13:22,13.2203,-88.1386,66.42,93,29,3.47,scattered clouds
158,General Roca,AR,2023-01-18 04:17:56,-39.0333,-67.5833,71.94,59,100,16.2,light rain
159,Eravur,LK,2023-01-18 04:17:58,7.7733,81.6095,79.21,72,95,13.04,overcast clouds
160,Sistranda,NO,2023-01-18 04:17:59,63.7256,8.834,35.56,66,100,20.29,overcast clouds
161,Banepa,NP,2023-01-18 04:18:00,27.6298,85.5214,48.52,66,20,4.61,mist
162,Manono,CD,2023-01-18 04:18:01,-7.3,27.4167,67.26,98,100,3.02,light rain
163,Synya,RU,2023-01-18 04:18:02,65.3718,58.0387,14.07,92,99,11.81,overcast clouds
164,Hearst,CA,2023-01-18 04:18:03,49.6835,-83.6665,17.85,95,100,10.87,snow
165,Kopayhorod,UA,2023-01-18 04:18:04,48.8592,27.7969,42.69,93,89,19.39,overcast clouds
166,San Cristobal,VE,2023-01-18 04:18:05,7.7669,-72.225,69.98,89,58,0.96,broken clouds
167,Tessalit,ML,2023-01-18 04:18:06,20.1986,1.0114,61.03,16,31,7.49,scattered clouds
168,Tombouctou,ML,2023-01-18 04:18:06,20.0,-3.0,62.94,20,84,7.23,broken clouds
169,Sarwar,IN,2023-01-18 04:18:08,26.0667,75.0,55.2,27,0,4.7,clear sky
170,Iisaku,EE,2023-01-18 04:18:09,59.1014,27.3081,32.41,98,100,12.46,snow
171,Mahebourg,MU,2023-01-18 04:18:10,-20.4081,57.7,81.25,78,75,14.97,light rain
172,Walvis Bay,NA,2023-01-18 04:18:11,-22.9575,14.5053,69.1,88,100,1.14,overcast clouds
173,Amapa,BR,2023-01-18 04:15:21,1.0,-52.0,69.96,99,100,2.19,overcast clouds
174,Ugoofaaru,MV,2023-01-18 04:18:12,5.6667,73.0,80.83,76,19,14.47,few clouds
175,Cardenas,CU,2023-01-18 04:15:53,23.0375,-81.2047,65.16,78,0,8.5,clear sky
176,Kayerkan,RU,2023-01-18 04:18:14,69.3497,87.7602,-30.08,85,76,5.41,broken clouds
177,Bredasdorp,ZA,2023-01-18 04:15:39,-34.5322,20.0403,70.66,93,100,9.1,overcast clouds
178,Joutseno,FI,2023-01-18 04:18:15,61.118,28.5076,32.79,96,100,11.83,snow
179,Vestmanna,FO,2023-01-18 04:18:16,62.1564,-7.1664,31.12,64,100,21.85,overcast clouds
180,Longyearbyen,SJ,2023-01-18 04:18:17,78.2186,15.6401,12.04,67,0,11.5,clear sky
181,Puerto Carreno,CO,2023-01-18 04:18:17,6.189,-67.4859,79.32,57,98,4.5,overcast clouds
182,Lyubech,UA,2023-01-18 04:18:18,51.7026,30.6569,39.33,97,100,14.52,overcast clouds
183,Aswan,EG,2023-01-18 04:18:19,24.0934,32.907,51.1,53,0,5.75,clear sky
184,Inongo,CD,2023-01-18 04:18:20,-1.95,18.2667,70.45,90,99,6.13,overcast clouds
185,Minsk,BY,2023-01-18 04:13:50,53.9,27.5667,35.35,97,100,8.86,overcast clouds
186,Ponta Delgada,PT,2023-01-18 04:08:21,37.7333,-25.6667,54.32,76,20,11.5,few clouds
187,Torbay,CA,2023-01-18 04:18:22,47.6666,-52.7314,48.97,97,100,11.5,light rain
188,Dudinka,RU,2023-01-18 04:19:23,69.4058,86.1778,-28.16,88,100,7.52,overcast clouds
189,Candolim,IN,2023-01-18 04:19:24,15.5181,73.7626,78.8,69,4,4.61,mist
190,Shenkursk,RU,2023-01-18 04:19:26,62.1091,42.896,21.18,94,89,6.17,overcast clouds
191,Salekhard,RU,2023-01-18 04:08:50,66.53,66.6019,0.93,98,100,3.15,overcast clouds
192,Matara,LK,2023-01-18 04:19:27,5.9485,80.5353,80.94,65,83,11.92,broken clouds
193,Millinocket,US,2023-01-18 04:19:28,45.6573,-68.7098,30.31,69,100,3.44,overcast clouds
194,Tamandare,BR,2023-01-18 04:19:29,-8.7597,-35.1047,76.73,84,98,8.16,overcast clouds
195,Kampene,CD,2023-01-18 04:19:30,-3.6,26.6667,65.93,99,99,2.35,overcast clouds
196,Sao Filipe,CV,2023-01-18 04:19:31,14.8961,-24.4956,76.19,60,57,9.98,broken clouds
197,Elizabeth City,US,2023-01-18 04:19:31,36.2946,-76.2511,54.01,95,100,12.66,overcast clouds
198,Barwadih,IN,2023-01-18 04:19:32,23.8333,84.1167,64.08,24,0,2.39,clear sky
199,Touros,BR,2023-01-18 04:19:33,-5.1989,-35.4608,78.17,81,85,10.96,overcast clouds
200,Husavik,IS,2023-01-18 04:19:34,66.0449,-17.3389,24.57,83,100,14.54,light snow
201,Tolmachevo,RU,2023-01-18 04:19:35,54.9824,82.7363,8.58,78,75,6.71,light snow
202,Sussex,US,2023-01-18 04:19:36,41.1834,-74.6663,41.68,67,40,1.01,scattered clouds
203,Tarko-Sale,RU,2023-01-18 04:19:37,64.9225,77.785,-4.29,97,100,16.62,overcast clouds
204,Sur,OM,2023-01-18 04:19:38,22.5667,59.5289,70.3,58,5,7.56,clear sky
205,Maldonado,UY,2023-01-18 04:19:39,-34.6667,-54.9167,69.19,92,0,8.21,clear sky
206,Nsanje,MW,2023-01-18 04:19:40,-16.92,35.262,72.99,98,100,2.17,overcast clouds
207,Mumbwa,ZM,2023-01-18 04:19:40,-14.9783,27.0619,61.52,99,100,4.27,overcast clouds
208,Vodyane,UA,2023-01-18 04:19:41,47.4875,34.4924,46.47,69,100,17.05,overcast clouds
209,Lagoa,PT,2023-01-18 04:17:02,39.05,-27.9833,56.41,69,0,11.68,clear sky
210,Sinnamary,GF,2023-01-18 04:19:43,5.3833,-52.95,75.49,82,97,6.26,overcast clouds
211,Lebu,CL,2023-01-18 04:19:44,-37.6167,-73.65,54.75,92,20,9.53,few clouds
212,Mangan,IN,2023-01-18 04:19:44,27.5167,88.5333,56.55,53,0,3.56,clear sky
213,Derzhavinsk,KZ,2023-01-18 04:19:45,51.1,66.3167,-4.09,78,88,5.73,overcast clouds
214,Paita,PE,2023-01-18 04:19:46,-5.0892,-81.1144,70.3,78,99,8.23,overcast clouds
215,Paamiut,GL,2023-01-18 04:19:47,61.994,-49.6678,19.13,67,100,9.22,overcast clouds
216,Michigan City,US,2023-01-18 04:19:47,41.7075,-86.895,38.64,84,100,9.22,overcast clouds
217,Jalu,LY,2023-01-18 04:19:47,29.0331,21.5482,53.65,53,0,9.8,clear sky
218,Nouadhibou,MR,2023-01-18 04:19:49,20.931,-17.0347,62.58,67,96,14.97,overcast clouds
219,Ati,TD,2023-01-18 04:19:49,13.2154,18.3353,66.22,28,100,7.94,overcast clouds
220,Ancud,CL,2023-01-18 04:19:50,-41.8697,-73.8203,53.19,91,98,2.55,overcast clouds
221,Binga,ZW,2023-01-18 04:19:51,-17.6203,27.3414,69.39,93,95,6.26,light rain
222,Muisne,EC,2023-01-18 04:19:51,0.6,-80.0333,75.56,84,100,7.92,overcast clouds
