City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
619,Bartica,GY,73.72,broken clouds,6.4,-58.6167,Rockville Hotel
624,Neuquen,AR,71.2,overcast clouds,-38.9516,-68.0591,Hotel Argentina 307
627,Tete,MZ,73.49,moderate rain,-16.1564,33.5867,Zambezi Hotel
628,Maragogi,BR,76.53,overcast clouds,-9.0122,-35.2225,Pousada Mariluz
630,Tsevie,TG,76.08,scattered clouds,6.4261,1.2133,Le Grand
641,Altamira,BR,71.15,heavy intensity rain,-3.2033,-52.2064,Hotel Vale do Xingu
650,Maxixe,MZ,81.93,scattered clouds,-23.8597,35.3472,Hotel Herry
655,Ambanja,MG,84.13,broken clouds,-13.6833,48.45,Hôtel Salama Rose
658,Axim,GH,78.22,light rain,4.8699,-2.2405,Axim Beach Hotel
670,Cayenne,GF,73.44,overcast clouds,4.9333,-52.3333,Central Hôtel
671,Rio Grande,BR,72.39,few clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
684,Cartagena,CO,78.42,few clouds,10.3997,-75.5144,Hotel Bellamar
690,Lucea,JM,75.06,clear sky,18.451,-78.1736,Blue Paloma Bed And Breakfast
697,George Town,MY,89.55,few clouds,5.4112,100.3354,Page 63 hostel
